strategy,n,model,method,metric,mean
Synonymy,215,mbert,gradient_shap,auprc,0.2534
Synonymy,215,mbert,gradient_shap,f1_at_k,0.2232
Synonymy,215,mbert,gradient_shap,precision_at_k,0.2232
Synonymy,215,mbert,gradient_shap,recall_at_k,0.2232
Syntactic Change,80,mbert,gradient_shap,auprc,0.2737
Syntactic Change,80,mbert,gradient_shap,f1_at_k,0.2529
Syntactic Change,80,mbert,gradient_shap,precision_at_k,0.2529
Syntactic Change,80,mbert,gradient_shap,recall_at_k,0.2529
Compression,87,mbert,integrated_gradients,auprc,0.2506
Compression,87,mbert,integrated_gradients,f1_at_k,0.2211
Compression,87,mbert,integrated_gradients,precision_at_k,0.2211
Compression,87,mbert,integrated_gradients,recall_at_k,0.2211
Explanation,79,mbert,integrated_gradients,auprc,0.2854
Explanation,79,mbert,integrated_gradients,f1_at_k,0.2491
Explanation,79,mbert,integrated_gradients,precision_at_k,0.2491
Explanation,79,mbert,integrated_gradients,recall_at_k,0.2491
Modulation,150,mbert,integrated_gradients,auprc,0.2653
Modulation,150,mbert,integrated_gradients,f1_at_k,0.2367
Modulation,150,mbert,integrated_gradients,precision_at_k,0.2367
Modulation,150,mbert,integrated_gradients,recall_at_k,0.2367
Omission,61,mbert,integrated_gradients,auprc,0.2581
Omission,61,mbert,integrated_gradients,f1_at_k,0.2453
Omission,61,mbert,integrated_gradients,precision_at_k,0.2453
Omission,61,mbert,integrated_gradients,recall_at_k,0.2453
Synonymy,215,mbert,integrated_gradients,auprc,0.2516
Synonymy,215,mbert,integrated_gradients,f1_at_k,0.2163
Synonymy,215,mbert,integrated_gradients,precision_at_k,0.2163
Synonymy,215,mbert,integrated_gradients,recall_at_k,0.2163
Syntactic Change,80,mbert,integrated_gradients,auprc,0.2767
Syntactic Change,80,mbert,integrated_gradients,f1_at_k,0.2544
Syntactic Change,80,mbert,integrated_gradients,precision_at_k,0.2544
Syntactic Change,80,mbert,integrated_gradients,recall_at_k,0.2544
Compression,87,mbert,raw_attention,auprc,0.2586
Compression,87,mbert,raw_attention,f1_at_k,0.2332
Compression,87,mbert,raw_attention,precision_at_k,0.2332
Compression,87,mbert,raw_attention,recall_at_k,0.2332
Explanation,79,mbert,raw_attention,auprc,0.2767
Explanation,79,mbert,raw_attention,f1_at_k,0.2474
Explanation,79,mbert,raw_attention,precision_at_k,0.2474
Explanation,79,mbert,raw_attention,recall_at_k,0.2474
Modulation,150,mbert,raw_attention,auprc,0.2639
Modulation,150,mbert,raw_attention,f1_at_k,0.2381
Modulation,150,mbert,raw_attention,precision_at_k,0.2381
Modulation,150,mbert,raw_attention,recall_at_k,0.2381
Omission,61,mbert,raw_attention,auprc,0.2604
Omission,61,mbert,raw_attention,f1_at_k,0.2476
Omission,61,mbert,raw_attention,precision_at_k,0.2476
Omission,61,mbert,raw_attention,recall_at_k,0.2476
Synonymy,215,mbert,raw_attention,auprc,0.2479
Synonymy,215,mbert,raw_attention,f1_at_k,0.2224
Synonymy,215,mbert,raw_attention,precision_at_k,0.2224
Synonymy,215,mbert,raw_attention,recall_at_k,0.2224
Syntactic Change,80,mbert,raw_attention,auprc,0.2859
Syntactic Change,80,mbert,raw_attention,f1_at_k,0.2751
Syntactic Change,80,mbert,raw_attention,precision_at_k,0.2751
Syntactic Change,80,mbert,raw_attention,recall_at_k,0.2751
Compression,87,qwen,integrated_gradients_qwen,auprc,0.1224
Compression,87,qwen,integrated_gradients_qwen,f1_at_k,0.0902
Compression,87,qwen,integrated_gradients_qwen,precision_at_k,0.0902
Compression,87,qwen,integrated_gradients_qwen,recall_at_k,0.0902
Explanation,79,qwen,integrated_gradients_qwen,auprc,0.1251
Explanation,79,qwen,integrated_gradients_qwen,f1_at_k,0.1232
Explanation,79,qwen,integrated_gradients_qwen,precision_at_k,0.1232
Explanation,79,qwen,integrated_gradients_qwen,recall_at_k,0.1232
Modulation,150,qwen,integrated_gradients_qwen,auprc,0.1058
Modulation,150,qwen,integrated_gradients_qwen,f1_at_k,0.0953
Modulation,150,qwen,integrated_gradients_qwen,precision_at_k,0.0953
Modulation,150,qwen,integrated_gradients_qwen,recall_at_k,0.0953
Omission,61,qwen,integrated_gradients_qwen,auprc,0.0933
Omission,61,qwen,integrated_gradients_qwen,f1_at_k,0.0813
Omission,61,qwen,integrated_gradients_qwen,precision_at_k,0.0813
Omission,61,qwen,integrated_gradients_qwen,recall_at_k,0.0813
Synonymy,215,qwen,integrated_gradients_qwen,auprc,0.1016
Synonymy,215,qwen,integrated_gradients_qwen,f1_at_k,0.1005
Synonymy,215,qwen,integrated_gradients_qwen,precision_at_k,0.1005
Synonymy,215,qwen,integrated_gradients_qwen,recall_at_k,0.1005
Syntactic Change,80,qwen,integrated_gradients_qwen,auprc,0.1052
Syntactic Change,80,qwen,integrated_gradients_qwen,f1_at_k,0.0818
Syntactic Change,80,qwen,integrated_gradients_qwen,precision_at_k,0.0818
Syntactic Change,80,qwen,integrated_gradients_qwen,recall_at_k,0.0818
Compression,87,xlmr,attnlrp,auprc,0.3207
Compression,87,xlmr,attnlrp,f1_at_k,0.2998
Compression,87,xlmr,attnlrp,precision_at_k,0.2998
Compression,87,xlmr,attnlrp,recall_at_k,0.2998
Explanation,79,xlmr,attnlrp,auprc,0.3768
Explanation,79,xlmr,attnlrp,f1_at_k,0.3281
Explanation,79,xlmr,attnlrp,precision_at_k,0.3281
Explanation,79,xlmr,attnlrp,recall_at_k,0.3281
Modulation,150,xlmr,attnlrp,auprc,0.3361
Modulation,150,xlmr,attnlrp,f1_at_k,0.2889
Modulation,150,xlmr,attnlrp,precision_at_k,0.2889
Modulation,150,xlmr,attnlrp,recall_at_k,0.2889
Omission,61,xlmr,attnlrp,auprc,0.3453
Omission,61,xlmr,attnlrp,f1_at_k,0.3082
Omission,61,xlmr,attnlrp,precision_at_k,0.3082
Omission,61,xlmr,attnlrp,recall_at_k,0.3082
Synonymy,215,xlmr,attnlrp,auprc,0.317
Synonymy,215,xlmr,attnlrp,f1_at_k,0.2706
Synonymy,215,xlmr,attnlrp,precision_at_k,0.2706
Synonymy,215,xlmr,attnlrp,recall_at_k,0.2706
Syntactic Change,80,xlmr,attnlrp,auprc,0.3311
Syntactic Change,80,xlmr,attnlrp,f1_at_k,0.3
Syntactic Change,80,xlmr,attnlrp,precision_at_k,0.3
Syntactic Change,80,xlmr,attnlrp,recall_at_k,0.3
Compression,87,xlmr,gradient_shap,auprc,0.2484
Compression,87,xlmr,gradient_shap,f1_at_k,0.207
Compression,87,xlmr,gradient_shap,precision_at_k,0.207
Compression,87,xlmr,gradient_shap,recall_at_k,0.207
Explanation,79,xlmr,gradient_shap,auprc,0.3061
Explanation,79,xlmr,gradient_shap,f1_at_k,0.2562
Explanation,79,xlmr,gradient_shap,precision_at_k,0.2562
Explanation,79,xlmr,gradient_shap,recall_at_k,0.2562
Modulation,150,xlmr,gradient_shap,auprc,0.2858
Modulation,150,xlmr,gradient_shap,f1_at_k,0.2447
Modulation,150,xlmr,gradient_shap,precision_at_k,0.2447
Modulation,150,xlmr,gradient_shap,recall_at_k,0.2447
Omission,61,xlmr,gradient_shap,auprc,0.2649
Omission,61,xlmr,gradient_shap,f1_at_k,0.2237
Omission,61,xlmr,gradient_shap,precision_at_k,0.2237
Omission,61,xlmr,gradient_shap,recall_at_k,0.2237
Synonymy,215,xlmr,gradient_shap,auprc,0.2597
Synonymy,215,xlmr,gradient_shap,f1_at_k,0.2143
Synonymy,215,xlmr,gradient_shap,precision_at_k,0.2143
Synonymy,215,xlmr,gradient_shap,recall_at_k,0.2143
Syntactic Change,80,xlmr,gradient_shap,auprc,0.2671
Syntactic Change,80,xlmr,gradient_shap,f1_at_k,0.2286
Syntactic Change,80,xlmr,gradient_shap,precision_at_k,0.2286
Syntactic Change,80,xlmr,gradient_shap,recall_at_k,0.2286
Compression,87,xlmr,integrated_gradients,auprc,0.2503
