model,method,metric,mean,std,count
e5,gradient_shap,auprc,0.2503617012176957,0.08901406426171464,748
e5,gradient_shap,f1_at_k,0.21429105131573414,0.12592141693534725,748
e5,gradient_shap,precision_at_k,0.21429105131573414,0.12592141693534725,748
e5,gradient_shap,recall_at_k,0.21429105131573414,0.12592141693534725,748
e5,integrated_gradients,auprc,0.249711250775245,0.08802988380906288,748
e5,integrated_gradients,f1_at_k,0.21416849938160257,0.1271485113070763,748
e5,integrated_gradients,precision_at_k,0.21416849938160257,0.1271485113070763,748
e5,integrated_gradients,recall_at_k,0.21416849938160257,0.1271485113070763,748
e5,raw_attention,auprc,0.26821784387123826,0.11265525975504832,748
e5,raw_attention,f1_at_k,0.21470414156697268,0.12745252751716027,748
e5,raw_attention,precision_at_k,0.21470414156697268,0.12745252751716027,748
e5,raw_attention,recall_at_k,0.21470414156697268,0.12745252751716027,748
mbert,gradient_shap,auprc,0.26634742776295117,0.09053089232508714,721
mbert,gradient_shap,f1_at_k,0.23640268147177265,0.11922254375971467,721
mbert,gradient_shap,precision_at_k,0.23640268147177265,0.11922254375971467,721
mbert,gradient_shap,recall_at_k,0.23640268147177265,0.11922254375971467,721
mbert,integrated_gradients,auprc,0.2654972746620146,0.09144152182237636,721
mbert,integrated_gradients,f1_at_k,0.23734387311417934,0.12333257093962587,721
mbert,integrated_gradients,precision_at_k,0.23734387311417934,0.12333257093962587,721
mbert,integrated_gradients,recall_at_k,0.23734387311417934,0.12333257093962587,721
mbert,raw_attention,auprc,0.26317833910085875,0.08265242164894637,721
mbert,raw_attention,f1_at_k,0.24061345867785094,0.11715416835787325,721
mbert,raw_attention,precision_at_k,0.24061345867785094,0.11715416835787325,721
mbert,raw_attention,recall_at_k,0.24061345867785094,0.11715416835787325,721
xlmr,gradient_shap,auprc,0.2699385077336895,0.10430809492331046,709
xlmr,gradient_shap,f1_at_k,0.22711562967447668,0.13376591065963833,709
xlmr,gradient_shap,precision_at_k,0.22711562967447668,0.13376591065963833,709
xlmr,gradient_shap,recall_at_k,0.22711562967447668,0.13376591065963833,709
xlmr,integrated_gradients,auprc,0.2680209852369434,0.10842091837652815,709
xlmr,integrated_gradients,f1_at_k,0.22546596620103954,0.13846303653852796,709
xlmr,integrated_gradients,precision_at_k,0.22546596620103954,0.13846303653852796,709
xlmr,integrated_gradients,recall_at_k,0.22546596620103954,0.13846303653852796,709
xlmr,raw_attention,auprc,0.2335924061630479,0.0887828838167791,709
xlmr,raw_attention,f1_at_k,0.19519437738890574,0.1243611023616837,709
xlmr,raw_attention,precision_at_k,0.19519437738890574,0.1243611023616837,709
xlmr,raw_attention,recall_at_k,0.19519437738890574,0.1243611023616837,709
