model,method,auprc,f1_at_k,precision_at_k,recall_at_k
e5,gradient_shap,0.25036170121769574,0.21429105131573414,0.21429105131573414,0.21429105131573414
e5,integrated_gradients,0.24971125077524503,0.2141684993816026,0.2141684993816026,0.2141684993816026
e5,raw_attention,0.2682178438712383,0.21470414156697268,0.21470414156697268,0.21470414156697268
xlmr,gradient_shap,0.26993850773368955,0.22711562967447674,0.22711562967447674,0.22711562967447674
xlmr,integrated_gradients,0.26802098523694345,0.22546596620103954,0.22546596620103954,0.22546596620103954
xlmr,raw_attention,0.23359240616304797,0.19519437738890574,0.19519437738890574,0.19519437738890574
