language,side,feature,median,q1,q3,iqr
en,complex,lexical_diversity,3.1912806917460173,2.6666666666666665,3.743743040080456,1.0770763734137896
en,complex,n_verbs,1.0,1.0,2.0,1.0
en,complex,n_finite_verbs,0.0,0.0,1.0,1.0
en,complex,n_clauses,2.0,1.0,2.0,1.0
en,complex,n_subordinate_clauses,1.0,0.0,1.0,1.0
en,complex,subordinate_rate,0.022727272727272728,0.0,0.09318181818181819,0.09318181818181819
en,complex,tree_depth,3.0,2.0,4.0,2.0
en,complex,mean_dep_distance,2.3333333333333335,1.825,2.7921052631578944,0.9671052631578945
en,complex,max_dep_distance,7.0,4.0,12.0,8.0
en,complex,n_punct,1.0,1.0,2.0,1.0
en,complex,n_named_entities,0.0,0.0,1.0,1.0
en,complex,n_numbers,0.0,0.0,0.0,0.0
en,complex,n_negations,0.0,0.0,0.0,0.0
en,simple,n_tokens,11.0,8.0,18.0,10.0
en,simple,char_count,47.0,30.75,72.75,42.0
en,simple,mean_token_length,4.0,3.5,4.666666666666667,1.166666666666667
en,simple,n_content_tokens,6.0,4.0,8.25,4.25
en,simple,lexical_density,0.5,0.4,0.5714285714285714,0.17142857142857137
en,simple,n_unique_lemmas,10.5,8.0,15.0,7.0
en,simple,lexical_diversity,3.162277660168379,2.6457513110645903,3.617191386856536,0.9714400757919459
en,simple,n_verbs,2.0,1.0,2.0,1.0
en,simple,n_finite_verbs,1.0,0.0,1.0,1.0
en,simple,n_clauses,2.0,1.0,3.0,2.0
en,simple,n_subordinate_clauses,1.0,0.0,2.0,2.0
en,simple,subordinate_rate,0.039230769230769236,0.0,0.09697088906372935,0.09697088906372935
en,simple,tree_depth,3.0,2.0,4.0,2.0
en,simple,mean_dep_distance,2.3333333333333335,1.8333333333333333,2.789285714285714,0.9559523809523809
en,simple,max_dep_distance,8.0,5.0,13.25,8.25
en,simple,n_punct,1.0,1.0,2.0,1.0
en,simple,n_named_entities,0.0,0.0,1.0,1.0
en,simple,n_numbers,0.0,0.0,0.0,0.0
en,simple,n_negations,0.0,0.0,0.0,0.0
es,complex,n_tokens,30.5,19.0,43.0,24.0
es,complex,char_count,145.5,97.0,196.5,99.5
es,complex,mean_token_length,4.730769230769231,4.366895604395604,5.1322580645161295,0.7653624601205253
es,complex,n_content_tokens,14.0,10.0,19.0,9.0
es,complex,lexical_density,0.4583333333333333,0.4187921980495124,0.5,0.0812078019504876
es,complex,n_unique_lemmas,24.0,17.25,33.0,15.75
es,complex,lexical_diversity,4.40970869120796,3.8,5.009769881949877,1.2097698819498772
es,complex,n_verbs,2.0,1.0,3.0,2.0
es,complex,n_finite_verbs,1.0,1.0,2.0,1.0
es,complex,n_clauses,2.0,1.0,3.0,2.0
es,complex,n_subordinate_clauses,1.0,0.0,2.0,2.0
es,complex,subordinate_rate,0.038461538461538464,0.0,0.06666666666666667,0.06666666666666667
es,complex,tree_depth,5.0,4.0,7.0,3.0
es,complex,mean_dep_distance,3.1047149122807016,2.689655172413793,3.582512315270936,0.8928571428571428
es,complex,max_dep_distance,23.0,15.0,34.0,19.0
es,complex,n_punct,2.0,1.0,4.0,3.0
es,complex,n_named_entities,2.0,0.0,4.0,4.0
es,complex,n_numbers,0.0,0.0,1.0,1.0
es,complex,n_negations,0.0,0.0,0.0,0.0
es,simple,n_tokens,26.0,18.0,39.0,21.0
es,simple,char_count,126.5,86.0,186.0,100.0
es,simple,mean_token_length,4.717142857142857,4.3658976773383555,5.0227272727272725,0.6568295953889169
es,simple,n_content_tokens,12.0,8.0,18.75,10.75
es,simple,lexical_density,0.4772256728778468,0.44,0.5149350649350649,0.07493506493506491
es,simple,n_unique_lemmas,21.0,15.0,29.0,14.0
es,simple,lexical_diversity,4.170288281141495,3.6,4.602378733412503,1.002378733412503
es,simple,n_verbs,2.0,1.0,4.0,3.0
es,simple,n_finite_verbs,2.0,1.0,3.0,2.0
es,simple,n_clauses,3.0,2.0,4.0,2.0
es,simple,n_subordinate_clauses,2.0,1.0,3.0,2.0
es,simple,subordinate_rate,0.058823529411764705,0.023255813953488372,0.09090909090909091,0.06765327695560254
es,simple,tree_depth,5.0,4.0,6.0,2.0
es,simple,mean_dep_distance,3.0620370370370367,2.478695652173913,3.6347270615563296,1.1560314093824164
es,simple,max_dep_distance,19.0,12.0,30.0,18.0
es,simple,n_punct,2.0,1.0,3.0,2.0
es,simple,n_named_entities,2.0,0.0,4.0,4.0
es,simple,n_numbers,0.0,0.0,1.0,1.0
es,simple,n_negations,0.0,0.0,0.0,0.0
fr,complex,n_tokens,9.0,6.0,18.0,12.0
fr,complex,char_count,46.0,30.0,90.5,60.5
fr,complex,mean_token_length,5.0,4.465201465201465,5.714285714285714,1.249084249084249
